obi,hedge,kill,seed,abertura,meta,resto,total,nkill
False,False,False,20240101,-2.209999999991851,-279.70999999999185,120.87999999997555,-161.04000000000815,0
False,False,False,20240102,-215.88999999999942,-1215.3499999999767,155.28999999997905,-1275.949999999997,0
False,False,False,20240103,-103.77999999999884,-765.9700000000012,150.02999999999884,-719.7200000000012,0
False,False,False,20240104,-178.38000000000466,-970.5999999999913,119.33999999999651,-1029.6399999999994,0
False,False,False,20240105,9.150000000008731,-1212.820000000007,56.220000000001164,-1147.449999999997,0
False,False,False,20240106,-20.94999999999709,-741.2400000000052,167.5899999999965,-594.6000000000058,0
False,False,False,20240107,-4.4100000000034925,-1019.6500000000087,16.94000000001688,-1007.1199999999953,0
False,False,False,20240108,-23.039999999993597,-616.4300000000076,109.2899999999936,-530.1800000000076,0
False,False,False,20240109,-16.720000000001164,-660.9499999999971,117.54999999998836,-560.1200000000099,0
False,False,False,20240110,47.329999999987194,-600.9499999999971,143.73000000001048,-409.8899999999994,0
False,False,False,20240111,20.680000000007567,-3142.2600000000093,37.69000000000233,-3083.8899999999994,0
False,False,False,20240112,-220.60000000000582,-885.5899999999965,120.07000000000698,-986.1199999999953,0
False,False,False,20240113,-4.759999999994761,-591.9999999999854,105.68999999997322,-491.070000000007,0
False,False,False,20240114,-14.69999999999709,-439.2299999999959,130.9100000000035,-323.0199999999895,0
False,False,False,20240115,5.070000000006985,-661.0100000000093,128.24000000000524,-527.6999999999971,0
False,False,False,20240116,6.3399999999965075,-360.38000000000466,158.6600000000035,-195.38000000000466,0
False,False,False,20240117,6.240000000005239,-1294.570000000007,28.419999999998254,-1259.9100000000035,0
False,False,False,20240118,-25.30999999999767,-806.679999999993,28.689999999987776,-803.3000000000029,0
False,False,False,20240119,-32.74000000000524,-897.3400000000256,99.870000000039,-830.2099999999919,0
False,False,False,20240120,2.3500000000058208,-1241.9600000000064,138.77999999999884,-1100.8300000000017,0
False,False,True,20240101,-2.209999999991851,-392.7100000000064,118.83000000000175,-276.0899999999965,182
False,False,True,20240102,36.55000000000291,-325.79000000000815,158.43000000000757,-130.80999999999767,466
False,False,True,20240103,1.1199999999953434,-416.0,127.94000000000233,-286.9400000000023,237
False,False,True,20240104,-4.759999999994761,-438.72000000000116,44.80999999999767,-398.66999999999825,526
