gamma,k,n,pnl_mean,pnl_ci95,sharpe_mean,sharpe_ci95,inv_max_mean,inv_max_ci95,max_drawdown_pct_mean,spread_mean,spread_std_mean
0.5,20.0,2.0,-2780.5749999999534,1581.4357999999634,-0.08840038238538177,0.028621280202462757,771.5,12.739999999999998,-3.1297713181535514,10.935994397759103,0.9757484194589898
0.5,50.0,2.0,-6966.725000000006,567.9786000000068,-0.16858871010544035,0.007345429558169562,1416.5,1078.98,-7.209104568360811,5.051680672268907,1.0177422946090198
0.5,100.0,2.0,-6334.214999999982,713.0774000000329,-0.2363111495396748,0.00026059926878874205,1450.5,338.1,-6.370885101109577,3.0594537815126053,0.8298308634176698
0.5,200.0,2.0,-6490.579999999998,632.5507999999991,-0.2274013892943446,0.01355621499438368,1306.5,377.2999999999999,-6.5306324718272535,3.049719887955182,0.7773099343487754
