test_id,obi,hedge,kill,n,pnl_mean,pnl_ci95,sharpe_mean,sharpe_ci95,inv_max_mean,inv_max_ci95,inv_final_mean,inv_final_ci95,max_drawdown_pct_mean
1,False,False,False,20.0,-851.857,274.3434241505897,-0.06201135369593471,0.009676783413293377,365.5,28.44631086986963,1.45,39.28487797720912,-0.9921227545805029
2,False,False,True,20.0,-345.17449999999997,72.6348270633482,-0.03698329250405197,0.006067523882358966,358.55,25.57523316352015,14.3,23.25376421820324,-0.4824217021823152
3,False,True,False,20.0,-805.1229999999999,150.35333328133885,-0.06781655728987025,0.009867151354191582,363.85,24.163362832362985,17.0,16.612297030560796,-0.8879691031155238
4,False,True,True,20.0,-374.78749999999985,88.16729296182525,-0.04254464400241076,0.007371483448072698,370.55,20.957714514808398,24.95,25.915678241883658,-0.47064388331355766
5,True,False,False,20.0,-692.8994999999993,262.8807533098314,-0.030489743978690642,0.010223977587706523,1249.8,409.056881064364,68.0,322.54346796084786,-0.8937952796281137
6,True,False,True,20.0,-297.1409999999995,116.36905265771017,-0.01641031344114682,0.006320180503992911,1109.55,273.10450144838035,158.9,231.5655579680463,-0.4824292485575544
7,True,True,False,20.0,-1660.9315000000024,267.45318655846694,-0.11203093903722242,0.009841590872396524,1865.65,475.35767505742444,77.45,540.2528590477456,-1.680385930082045
8,True,True,True,20.0,-1238.035000000002,104.62551929580799,-0.10392640779071602,0.007622610547017882,1668.25,489.6680879545374,-233.85,380.7205576828178,-1.2605720531780666
