obi,hedge,kill,seed,pnl_usd,return_pct,sharpe,max_drawdown_pct,inv_max,inv_final,sigma2_max
False,False,False,20240101,-161.04000000000087,-0.16104000000001228,-0.02203496369566227,-0.35327102915790026,459,187,0.0031467514120000002
False,False,False,20240103,-719.7200000000003,-0.7197200000000015,-0.06140409551377859,-0.8330052040077897,307,80,0.03632
False,False,False,20240102,-1275.9499999999998,-1.2759499999999924,-0.082692250335523,-1.400940131923994,361,-15,0.03556555556
False,False,True,20240101,-276.09000000000015,-0.2760899999999955,-0.032611345519948,-0.46774091379680205,357,133,0.001765988701
False,False,True,20240102,-130.80999999999995,-0.13080999999999232,-0.015105762442533945,-0.3701893566413974,339,24,0.001777514124
False,False,False,20240104,-1029.6399999999999,-1.0296399999999983,-0.07810626403064894,-1.1488090196871585,350,22,0.012491666670000002
False,False,True,20240104,-398.6700000000001,-0.39867000000000097,-0.047713205322910054,-0.48953729507549254,372,49,0.00176827012
False,True,False,20240101,-520.0100000000002,-0.520009999999993,-0.04579408113659669,-0.6084237490582443,377,-32,0.0028077683620000003
False,False,True,20240103,-286.9399999999996,-0.2869400000000022,-0.03383800018166922,-0.4707386279047646,327,-42,0.0013094632769999998
False,True,False,20240104,-918.81,-0.9188099999999921,-0.07365281235165543,-0.9395874102666358,420,29,0.022641920899999998
False,True,False,20240103,-729.4499999999998,-0.7294499999999982,-0.0647880564001942,-0.7876003710777737,437,56,0.03632
False,True,False,20240102,-1013.0600000000002,-1.013059999999999,-0.07759502770098792,-1.069080641036481,347,-26,0.03556555556
False,True,True,20240101,-145.75,-0.14575000000000005,-0.01717220014178639,-0.25746002827102,444,95,0.0017633898310000001
False,True,True,20240102,-384.3199999999997,-0.38432000000000466,-0.046060653286104224,-0.5136052124304308,331,48,0.0017792090400000002
False,True,True,20240103,-412.2499999999991,-0.4122500000000029,-0.051919319259334094,-0.49706333900048916,335,80,0.001765649718
False,True,True,20240104,-517.5500000000002,-0.51755,-0.055592729936536196,-0.5384936895427075,370,55,0.00176827012
True,False,False,20240102,-1119.56,-1.1195599999999972,-0.05784065187126364,-1.2071202911301322,715,-1,0.02636610169
True,False,False,20240101,134.0500000000029,0.13404999999999667,0.009238053078786846,-0.16095470032359926,1076,983,0.001709463277
True,False,True,20240101,134.0500000000029,0.13404999999999667,0.009238053078786846,-0.16095470032359926,1076,983,0.001709463277
True,False,False,20240104,-341.4300000000003,-0.3414299999999981,-0.023497566372934015,-0.6057714053281202,717,115,0.0127
True,False,False,20240103,-749.260000000002,-0.7492600000000071,-0.04258633108806969,-0.8443153254460755,829,-177,0.037466666669999996
True,False,True,20240102,-319.8500000000058,-0.3198500000000104,-0.019567751630519117,-0.39632742251951597,940,877,0.001775141243
True,False,True,20240104,-324.3700000000026,-0.32436999999999605,-0.01828580216167669,-0.49941118724246386,835,-383,0.001768474576
True,False,True,20240103,-80.80000000000291,-0.08080000000000309,-0.004950228647408675,-0.27388956144704524,854,-421,0.001723022599
True,True,False,20240101,-1058.5400000000009,-1.0585400000000078,-0.07960766598057341,-1.0818857866142415,1189,-545,0.005128700565
True,True,False,20240102,-1739.2399999999998,-1.7392400000000086,-0.10961971759909382,-1.7676057746140914,1176,38,0.01182
True,True,False,20240103,-1318.9899999999907,-1.3189899999999866,-0.1046459038899738,-1.3292781772916242,1598,-1567,0.037466666669999996
True,True,True,20240102,-1046.75,-1.0467499999999963,-0.09518181858963451,-1.0767697028880991,893,142,0.001771864407
True,True,True,20240101,-939.2200000000012,-0.9392199999999962,-0.09367720034128012,-0.9588301516299812,864,368,0.0016
True,True,False,20240104,-1658.2100000000064,-1.6582100000000044,-0.12884019026340543,-1.6738438588264473,1641,1260,0.0127
True,True,True,20240104,-1127.8400000000001,-1.127839999999991,-0.08630978497875287,-1.142795322112223,1068,-7,0.001776158192
True,True,True,20240103,-946.1699999999983,-0.9461700000000017,-0.08469645381649395,-0.9581441603710059,1539,-1265,0.001634463277
False,False,False,20240106,-594.6000000000004,-0.5946000000000007,-0.05702034442577543,-0.7837852392874893,379,74,0.018291666669999998
False,False,False,20240105,-1147.4499999999998,-1.1474499999999943,-0.08677682189475382,-1.25454775184419,314,-38,0.007237288136
False,False,False,20240109,-560.119999999999,-0.5601199999999973,-0.05012099394523924,-0.691726506824617,488,86,0.009301694915
False,False,False,20240108,-530.1799999999998,-0.5301799999999912,-0.056634659986328065,-0.6627186124895574,294,-22,0.027225
False,False,False,20240107,-1007.1200000000008,-1.0071199999999947,-0.07760552860711943,-1.0926068660871922,377,-69,0.008514124294000001
False,False,False,20240110,-409.8899999999999,-0.40989000000000164,-0.039073882236423045,-0.618162793289973,372,-34,202287.056
False,False,False,20240112,-986.1199999999999,-0.9861199999999903,-0.08067083645417854,-1.0548028503125968,357,-73,0.03638666667
False,False,False,20240111,-3083.8900000000003,-3.0838900000000002,-0.09907124299228126,-3.1942118280990224,515,-90,0.3184986158
False,False,False,20240115,-527.6999999999999,-0.5276999999999976,-0.05536724982071451,-0.7339289820746667,295,4,0.0052334463280000005
False,False,False,20240113,-491.0699999999997,-0.49107000000000456,-0.0502170632504694,-0.6676957669355656,343,-255,0.004415932203
False,False,False,20240114,-323.02,-0.3230200000000072,-0.030794256393489747,-0.48528419591868405,360,21,0.0081
False,False,False,20240118,-803.2999999999993,-0.8033000000000068,-0.06378845653141298,-0.8758999999999942,406,54,0.024025
False,False,False,20240116,-195.37999999999965,-0.19538000000000055,-0.02083908434052467,-0.3855396115645713,307,34,0.001932514124
False,False,False,20240117,-1259.9099999999999,-1.2599100000000085,-0.087498680893266,-1.3732490607275334,371,61,0.01182372881
False,False,True,20240105,-263.59000000000015,-0.26358999999999133,-0.029067896688655216,-0.40353488119167225,388,-26,0.001746779661
False,False,False,20240120,-1100.83,-1.100829999999997,-0.07451808766839421,-1.2961664633912993,262,41,0.02007398305
False,False,False,20240119,-830.2100000000005,-0.830210000000009,-0.06599231090271115,-0.9361031779862644,393,-39,0.007176158192
False,False,True,20240106,-311.90000000000055,-0.3118999999999983,-0.03648183759174622,-0.4719791188084461,502,43,0.00174320074
False,False,True,20240108,-388.99000000000024,-0.38899000000000017,-0.03644756876575021,-0.5713121545139581,345,37,0.001774322034
False,False,True,20240107,-447.25,-0.44724999999999904,-0.04578767931297405,-0.5766525134224862,353,-100,0.0017728813560000001
False,False,True,20240111,-919.4399999999996,-0.9194400000000047,-0.07704840254195297,-1.0580393907595504,319,44,0.001775819209
False,False,True,20240110,-286.1700000000001,-0.2861699999999967,-0.03111930970303723,-0.3643416817476322,452,19,0.001776836158
False,False,True,20240109,-259.84000000000015,-0.25984000000000007,-0.03186738372510945,-0.3162392752202483,364,103,0.001778644068
False,False,True,20240113,-451.92999999999995,-0.4519299999999893,-0.04883852053221795,-0.5368093253915823,343,7,0.001778983051
False,False,True,20240112,-381.3899999999999,-0.38139000000000367,-0.03955514098873877,-0.5272964101307928,301,26,0.0017709322029999999
False,False,True,20240114,-249.11000000000058,-0.24910999999999683,-0.02708593759543582,-0.3326706706286465,448,24,0.001767344633
False,False,True,20240115,-464.8799999999992,-0.46488000000000085,-0.05241452417657562,-0.5929536941251978,287,48,0.001774463277
False,False,True,20240117,-368.1400000000003,-0.3681399999999946,-0.041218025557021976,-0.49678131478655574,385,-49,0.0016829378529999999
False,False,True,20240116,-117.76999999999953,-0.11777000000000593,-0.012883045052499683,-0.2887025492399253,310,-44,0.0017792090400000002
False,False,True,20240120,-255.93999999999983,-0.25593999999999895,-0.029725995702344157,-0.4717485409226108,374,-19,0.001757514124
False,False,True,20240118,-264.30999999999995,-0.26431000000000093,-0.02939192547810525,-0.3700399999999936,253,6,0.0017624242420000002
False,False,True,20240119,-380.33,-0.3803300000000065,-0.04146434320181358,-0.47112632933854864,352,3,0.0017792090400000002
False,True,False,20240105,-834.9100000000001,-0.8349099999999998,-0.07292097398284342,-0.9351363433526784,314,-23,0.009764293785
False,True,False,20240106,-1154.8900000000003,-1.1548899999999973,-0.07673505578062706,-1.2473483979072395,336,10,0.04193220339
False,True,False,20240107,-969.0999999999995,-0.9691000000000005,-0.07521049574124868,-1.0663434747298033,328,35,0.007286327683999999
False,True,False,20240110,-523.4099999999999,-0.5234100000000019,-0.04574660219720136,-0.6686317931141199,405,11,202287.056
False,True,False,20240109,-367.8899999999999,-0.36789000000000405,-0.03903776999458768,-0.48923716223454794,318,22,0.0036
False,True,False,20240108,-559.6700000000001,-0.559670000000001,-0.060275771906299035,-0.6397668885823334,405,43,0.027225
False,True,False,20240113,-646.2499999999991,-0.6462500000000038,-0.06965230117711832,-0.7183307308741202,354,54,0.004596920904
False,True,False,20240112,-1392.4700000000003,-1.3924700000000012,-0.10692852074941162,-1.4279961685712625,334,74,0.03638666667
False,True,False,20240111,-1387.5000000000002,-1.387499999999997,-0.10577436733678588,-1.5041328954011144,504,-17,0.012460564969999999
False,True,False,20240115,-534.65,-0.5346499999999921,-0.04273999706157078,-0.5726889730156252,269,0,0.003246440678
False,True,False,20240114,-603.2199999999993,-0.6032200000000043,-0.05255962615418129,-0.6764669050814578,335,97,0.0081
False,True,False,20240116,-429.13,-0.4291299999999998,-0.04057988558000999,-0.5117528008254604,281,7,0.005393220339000001
False,True,False,20240118,-389.21000000000004,-0.3892100000000065,-0.042641766647708954,-0.45380999999999766,377,56,0.024025
False,True,False,20240117,-1485.5700000000002,-1.4855700000000027,-0.11439809063000192,-1.5532294968689349,359,-4,0.02348090395
False,True,False,20240119,-747.9699999999993,-0.7479699999999978,-0.07457813727076947,-0.7961058475270076,392,-41,0.0064
False,True,True,20240105,-403.85000000000036,-0.4038500000000056,-0.04582469724400766,-0.46335467505193106,324,84,0.0017257344630000001
False,True,False,20240120,-895.2900000000001,-0.895289999999993,-0.07472180599760535,-1.0937120127856366,385,-11,0.006478954802
False,True,True,20240106,-245.98000000000002,-0.2459800000000012,-0.028811489723303794,-0.34297836302038787,303,25,0.0017724293789999998
False,True,True,20240109,-428.8899999999999,-0.428890000000004,-0.04934174339893594,-0.46918804543771997,449,34,0.0017307692310000002
False,True,True,20240108,-432.1700000000001,-0.4321699999999984,-0.04707263251774479,-0.5786835344280425,371,-27,0.0017422598869999998
False,True,True,20240107,-420.06999999999994,-0.4200700000000057,-0.051422330521344664,-0.4848678703067426,445,-20,0.001775819209
False,True,True,20240110,-258.3100000000004,-0.25830999999999493,-0.028729080666980888,-0.38590448756500534,453,-73,0.001432881356
False,True,True,20240111,-1082.88,-1.0828800000000083,-0.09252910793771446,-1.187405491420635,328,-60,0.001778644068
False,True,True,20240112,-346.96000000000004,-0.34696000000000726,-0.04010010986492274,-0.49883237118268514,405,-31,0.001777711864
False,True,True,20240113,-302.41000000000076,-0.3024100000000085,-0.03921312624263478,-0.3826104935394448,343,-55,0.001774463277
False,True,True,20240115,-337.23,-0.3372299999999995,-0.04093710696942481,-0.4560658375887446,344,8,0.001765649718
False,True,True,20240114,-573.3599999999999,-0.5733600000000005,-0.06452440286108774,-0.5936891582341606,377,-20,0.001755480226
False,True,True,20240118,-275.60999999999876,-0.2756100000000039,-0.03452954951035103,-0.34163999999999944,366,86,0.0017624242420000002
False,True,True,20240117,-249.49,-0.24949000000000776,-0.027448715712090097,-0.36956336195721956,299,-14,0.001311186441
False,True,True,20240116,-148.07999999999993,-0.14808000000000598,-0.0204415827904045,-0.2578956617669309,378,109,0.001776158192
False,True,True,20240120,-320.8099999999995,-0.3208099999999936,-0.03754877747259653,-0.5250860455268509,385,87,0.0017507344630000002
