gamma,k,seed,pnl_usd,return_pct,sharpe,max_drawdown_pct,inv_max,inv_final,spread_mean,spread_std
0.5,20.0,20240101,87.11999999999898,0.08711999999999609,0.013263485220929926,-0.04177920843047056,165,165,10.681512605042016,0.4659222875902548
0.5,20.0,20240102,0.47999999999956344,0.00047999999999159826,5.255991494329012e-05,-0.16872193112182746,229,-156,10.862745098039216,0.35099167060417613
0.5,20.0,20240103,121.94000000000051,0.12194000000000926,0.017853504882996193,-0.05454345478542866,161,-155,10.806722689075631,0.40053146352587565
0.5,50.0,20240102,156.29999999999927,0.1562999999999981,0.022976432086667782,-0.050906784598716434,319,319,4.919047619047619,0.28037793011670775
0.5,50.0,20240101,206.4300000000003,0.2064300000000019,0.035472606077419956,-0.027575898844062488,292,238,4.946778711484594,0.23366238557074803
0.5,20.0,20240104,149.25,0.14924999999998967,0.015441075852271016,-0.050443733008075683,232,114,10.751120448179272,0.4391444898377239
0.5,100.0,20240101,265.56999999999994,0.26557000000000386,0.05908393210221818,-0.03986469342584745,317,22,2.996638655462185,0.05788363465211591
0.5,50.0,20240104,98.79999999999927,0.09879999999999889,0.013772706150570972,-0.08080013430361375,359,71,4.93655462184874,0.2516952589729838
0.5,50.0,20240103,129.16000000000167,0.12916000000000594,0.020339461414617434,-0.10206044714215448,288,-111,4.930532212885154,0.2661097454753002
0.5,100.0,20240102,160.49,0.16049000000000202,0.026833109124091703,-0.2431210188408222,266,13,3.0053221288515406,0.1057247475500502
0.5,100.0,20240104,103.75999999999999,0.10375999999998609,0.018482704966269786,-0.18751351756180515,345,16,3.003641456582633,0.0852682312500963
0.5,100.0,20240103,238.28999999999996,0.23828999999999656,0.054768757074147585,-0.11648674380855459,296,14,3.000420168067227,0.07939286663258055
0.5,200.0,20240101,265.56999999999994,0.26557000000000386,0.05908393210221818,-0.03986469342584745,317,22,2.996638655462185,0.05788363465211591
