gamma,k,n,pnl_mean,pnl_ci95,sharpe_mean,sharpe_ci95,inv_max_mean,inv_max_ci95,max_drawdown_pct_mean,spread_mean,spread_std_mean
0.5,20.0,4.0,89.69749999999976,63.391393932063345,0.011652656467785107,0.007798231628533336,196.75,38.244073614962446,-0.07887208183645059,10.775525210084034,0.4141474778895076
0.5,50.0,4.0,147.67250000000013,44.75969265827619,0.023140301432319037,0.00890505203721851,314.5,32.051643743600216,-0.06533581622213679,4.933228291316527,0.25796133003393495
0.5,100.0,4.0,192.02749999999997,72.31329550751136,0.03979212581668181,0.019750511996344654,306.0,32.70910576582612,-0.14674649340925736,3.001505602240896,0.08206737002121074
0.5,200.0,4.0,146.32749999999993,113.29267055179106,0.03094422217444643,0.02545828770496879,338.0,46.609278046328924,-0.13369332211262425,2.997584033613445,0.05338764788058556
1.0,20.0,4.0,10.509999999999764,124.98777617191296,0.0037486473310150816,0.017713636918307667,207.25,55.288996795625316,-0.09789277075425376,10.731127450980392,0.4524199066031642
1.0,50.0,4.0,-40.3474999999994,202.57978849499463,-0.0017357606675807461,0.03173537450978842,268.75,31.455557537579907,-0.2055176221686773,4.950385154061625,0.2490295418644205
1.0,100.0,4.0,19.777500000000146,196.42172708607544,0.007618170232757812,0.03517777440404873,364.75,82.99149735565284,-0.20454052523762967,3.0048669467787112,0.1164380967081436
1.0,200.0,4.0,1.814999999999884,195.08533182909125,0.00502627353877902,0.03508024891868287,324.25,28.58706642288898,-0.21040261049094644,2.9988795518207283,0.07303245979955528
5.0,20.0,4.0,-38.49499999999932,238.3799144205743,0.0012467560805931904,0.04371091305990378,152.5,19.44421422085929,-0.15914321359195935,9.991071428571429,0.3179926972963567
5.0,50.0,4.0,-5672.13,679.2468931837378,-0.41787752610821915,0.03712633895575938,291.75,41.65,-5.73231710221278,5.129971988795519,0.7272086611928521
5.0,100.0,4.0,-7885.6900000000005,2540.7240894272068,-0.45858187992145866,0.048117377868519516,291.0,69.86238472883673,-7.956909157650619,3.3343837535014007,0.7288625856983342
5.0,200.0,4.0,-11179.9175,3289.1064312251265,-0.4855113463938638,0.04561343066864678,238.5,38.87607833445481,-11.227543182889912,3.0896358543417364,0.5227802364909617
