gamma,k,seed,pnl_usd,return_pct,sharpe,max_drawdown_pct,inv_max,inv_final,spread_mean,spread_std
0.5,5.0,20240102,-485.6599999999962,-0.48565999999999887,-0.05419956480603592,-0.5031499999999941,191,-53,39.248179271708686,0.45596486093765065
0.5,5.0,20240101,-133.66999999999825,-0.13366999999999685,-0.025552898771425542,-0.18010944166073145,51,51,39.082212885154064,0.27470801940576683
0.5,5.0,20240103,-147.23999999999796,-0.14723999999999293,-0.04613420262549514,-0.16405539169124805,100,-46,39.92128851540616,0.26930678511725686
0.5,5.0,20240105,57.42000000000007,0.05741999999999692,0.010599190407790171,-0.009653537921718693,100,7,39.99733893557423,0.0515204320661658
0.5,10.0,20240101,-831.6700000000128,-0.8316700000000177,-0.05447593726984697,-0.9610270208162344,176,145,20.468767507002802,0.49905852728111916
0.5,5.0,20240104,-125.22999999999593,-0.1252299999999984,-0.012843968273669463,-0.23657344772279207,101,101,39.15,0.35709642905552536
0.5,10.0,20240102,-1949.5500000000466,-1.9495500000000443,-0.07154631799599213,-2.0377700000000187,414,-401,20.538935574229694,0.5247983904894689
0.5,10.0,20240103,164.3399999999965,0.16434000000000726,0.008157655936773166,-0.48590492807149865,375,-29,20.51764705882353,0.49972348013968537
0.5,10.0,20240104,-53.49000000000524,-0.05349000000000048,-0.003923464631469362,-0.1919999456141813,201,116,20.35406162464986,0.47826146215021104
0.5,10.0,20240105,-88.72000000000116,-0.08871999999999769,-0.010801289306260736,-0.1597308063177446,171,171,20.196778711484594,0.39864701673374375
0.5,50.0,20240101,-6792.520000000004,-6.7925200000000014,-0.16544214486848732,-7.374385105411142,1909,88,4.982212885154062,0.1332416297456007
0.5,50.0,20240102,-7090.639999999999,-7.090640000000004,-0.21457292836860153,-7.160722245519556,1071,-93,5.109243697478991,1.5337081890216904
0.5,50.0,20240105,-5666.140000000014,-5.66614000000002,-0.18859466267583952,-5.7104560856397635,1098,945,4.979411764705882,0.144940119505601
0.5,50.0,20240103,-7650.150000000023,-7.650150000000022,-0.19822019745428707,-7.65025,1581,-675,4.985574229691877,0.1808580758487182
0.5,50.0,20240104,-4904.430000000051,-4.9044300000000485,-0.1420560421537086,-5.275060000000056,1808,635,4.983893557422969,0.1291886168043229
1.0,5.0,20240101,-26.34000000001106,-0.026340000000013575,-0.002985673260934288,-0.27204258759322075,83,83,37.40896358543417,0.4916769561798666
1.0,5.0,20240102,-655.0500000000029,-0.6550500000000015,-0.05927301935116374,-0.6758500000000058,191,-80,37.713025210084034,0.5585220345436375
1.0,5.0,20240103,-163.9600000000064,-0.16396000000000743,-0.020099161135100612,-0.30053698778108623,124,-124,37.69887955182073,0.45877707261295336
1.0,5.0,20240105,252.54999999999927,0.25254999999999583,0.025726557464371066,-0.2052242989955513,100,12,37.56442577030813,0.49586667323109385
1.0,10.0,20240101,-671.6800000000076,-0.6716800000000078,-0.07605691367842848,-0.7877675579205599,161,112,20.064285714285713,0.2452783871503759
1.0,5.0,20240104,-105.05000000000291,-0.10505000000000653,-0.008249652909023297,-0.23371747920303879,100,95,37.523249299719886,0.5003347550418072
1.0,10.0,20240104,17.879999999999995,0.01788000000000345,0.0027779677211753956,-0.14238000000000467,133,1,20.06988795518207,0.2560723274602343
