gamma,k,n,pnl_mean,pnl_ci95,sharpe_mean,sharpe_ci95,inv_max_mean,inv_max_ci95,max_drawdown_pct_mean,spread_mean,spread_std_mean
1.0,20.0,1.0,-887.6499999999651,nan,-0.04282051595981238,nan,719.0,nan,-1.3227725655364948,10.780112044817928,0.4215739540511213
1.0,50.0,1.0,-3382.329999999987,nan,-0.16643517700158128,nan,881.0,nan,-3.4733105337892125,4.9715686274509805,0.18458163071251424
1.0,100.0,1.0,-5278.340000000001,nan,-0.1883732695245898,nan,1773.0,nan,-5.281384372312544,3.0019607843137255,0.08854598056212884
1.0,200.0,1.0,-4708.299999999999,nan,-0.2123760942425414,nan,1467.0,nan,-4.711205775884485,2.995658263305322,0.0678501498146705
