test_id,obi,hedge,kill,n,pnl_mean,pnl_ci95,sharpe_mean,sharpe_ci95,inv_max_mean,inv_max_ci95,inv_final_mean,inv_final_ci95,max_drawdown_pct_mean
1,False,False,False,4.0,-796.5875000000002,471.3284203399962,-0.0610593933939032,0.027026220737447825,369.25,62.92574327464608,68.5,86.38279844197378,-0.9340063461942106
2,False,False,True,4.0,-273.12749999999994,107.6733447495557,-0.032317078366765305,0.013095258539997982,348.75,19.40919627393159,41.0,70.9084912639758,-0.44955154835461414
3,False,True,False,4.0,-795.3325,213.80696936569518,-0.06545749439735855,0.013877539586894354,395.25,40.07529039196098,6.75,41.94106142354212,-0.8511730428597837
4,False,True,True,4.0,-364.96749999999975,153.86092140010723,-0.04268622565594023,0.01710729470970494,370.0,51.30434939326944,69.5,21.418474891239725,-0.45165556731116185
5,True,False,False,4.0,-5730.804999999998,588.3306891602342,-0.12237051295030724,0.016981512136920257,1287.25,420.1174960650889,-400.0,895.0070539759263,-5.798919182900889
6,True,False,True,4.0,-4358.145,94.26590148616712,-0.11815310611016253,0.003558613445747683,1131.25,197.3662175584599,-373.5,740.197185349958,-4.401824380655505
7,True,True,False,4.0,-7578.747500000001,283.80753147376765,-0.2541212467609897,0.011622149340669114,2196.0,842.1908884174261,316.25,2138.975274681781,-7.595198162080944
8,True,True,True,4.0,-7207.007499999976,247.3086460035276,-0.27705231445104594,0.007575661826621314,2389.75,1046.2427172028486,-312.0,2584.00201088673,-7.225620563914859
