mm_count,backstop,num_noise,fund_vol,r_bar,seed,spread_median,spread_p25,spread_p75,trade_dist_median,trade_dist_p90,trade_dist_p99,n_trades
2,50000.0,5000,1e-08,30000.0,20240101,1.0,1.0,1.0,0.5,1.5,4.5,24682
2,50000.0,5000,1e-08,100000.0,20240101,1.0,1.0,1.0,0.5,1.5,5.5,23494
2,50000.0,5000,1e-08,100000.0,20240102,1.0,1.0,1.0,0.5,2.5,14.5,24574
2,50000.0,5000,1e-08,30000.0,20240102,1.0,1.0,1.0,0.5,1.5,4.5,25334
2,50000.0,5000,1e-08,10000.0,20240101,1.0,1.0,1.0,0.5,1.5,3.5,25224
2,50000.0,5000,1e-08,10000.0,20240102,1.0,1.0,1.0,0.5,1.5,3.5,25506
2,50000.0,5000,1e-08,3000.0,20240101,1.0,1.0,1.0,0.5,1.5,3.5,25338
2,50000.0,5000,1e-08,3000.0,20240102,1.0,1.0,1.0,0.5,1.5,3.5,25632
