eta,n,pnl_mean,pnl_ci95,sharpe_mean,sharpe_ci95,inv_max_mean,inv_max_ci95,displacement_cents_mean
0.001,4.0,-2808.5699999999706,845.0589616213887,-0.07741497534180827,0.018405956029720272,741.0,349.24409839919514,0.042749999999999996
0.005,4.0,-2714.5750000000407,821.8586556302336,-0.07495097150104645,0.02719437448715021,754.0,262.5314949994889,0.21
0.02,4.0,-2664.8400000000256,724.5687488642478,-0.07067997459226007,0.010195462160840774,771.25,168.6195776494137,0.84
0.1,4.0,-2470.9649999999965,842.8257673196147,-0.07611320012229751,0.02010869414421057,818.75,313.21018219932336,4.2
0.5,4.0,-11216.172499999957,522.6124697163339,-0.10456981006675219,0.009212071345580976,1105.0,274.2564624580431,21.125
