gamma,k,n,pnl_mean,pnl_ci95,sharpe_mean,sharpe_ci95,inv_max_mean,inv_max_ci95,max_drawdown_pct_mean,spread_mean,spread_std_mean
0.5,20.0,4.0,-2244.987499999974,1223.1985873632016,-0.07402852412585363,0.027148901402765723,731.25,155.73137416718572,-2.469165346745111,10.92391456582633,0.6342639761849849
0.5,50.0,4.0,-6798.112500000032,1491.3684560885429,-0.17052869812645577,0.005148129809450443,1537.5,504.2335708776241,-6.991669906896226,5.017401960784314,0.5916772782123481
0.5,100.0,4.0,-6455.422500000001,425.0539408222683,-0.22900547829235163,0.008367452000199,1616.5,246.06978441084553,-6.480407656530945,3.0319327731092436,0.4767209239383123
0.5,200.0,4.0,-6826.694999999969,580.2473949326519,-0.21859842480329633,0.016773308500239822,1387.0,460.6674135063893,-6.85467894591765,3.024544817927171,0.416893676639443
1.0,20.0,4.0,-1412.8624999999884,690.3245796765948,-0.07494213730646951,0.0274540087794102,513.5,166.14685431870205,-1.601343182161109,10.843032212885154,1.1092089409810164
1.0,50.0,4.0,-4724.412500000006,1335.482123886754,-0.1593033465745086,0.02100197829513725,1066.75,172.90150674107306,-4.80429963111178,5.04670868347339,1.0985165167652442
1.0,100.0,4.0,-5034.247500000013,248.92730865744716,-0.19627367298101173,0.01957693681626984,1325.0,325.8486491200068,-5.0610745067939265,3.064005602240896,0.8641813177106192
1.0,200.0,4.0,-5059.435000000008,353.39622133254323,-0.21770776970165245,0.0096557531965052,1250.25,256.18379047082584,-5.087290925459254,3.052906162464986,0.8182451486706928
5.0,20.0,4.0,-7755.177499999992,5058.7017231623495,-0.23007031883555973,0.05898445610345066,266.75,71.637821249207,-7.858537015152947,11.476365546218489,6.639359374417447
5.0,50.0,4.0,-13233.800000000007,3104.945483070457,-0.3758850535541708,0.06651417428685025,572.75,213.0703835981591,-13.267816311873299,6.147619047619048,5.959697382110938
5.0,100.0,4.0,-19465.020000000004,1520.1420749132728,-0.35127540202042157,0.04329791919227488,518.0,107.50857578196572,-19.488771922961206,4.913655462184874,6.7897640681676465
5.0,200.0,4.0,-17587.96,6041.976181378142,-0.3822459724110984,0.07220333369861054,551.0,98.10774077512946,-17.60972003654546,4.27296918767507,6.191441728524888
