obi,hedge,kill,seed,pnl_usd,return_pct,sharpe,max_drawdown_pct,inv_max,inv_final,sigma2_max
False,False,False,20240101,-2618.4000000000233,-2.6184000000000207,-0.0739574989401686,-3.0939781204376287,730,440,0.0121
False,False,False,20240102,-3901.2600000000093,-3.9012600000000064,-0.10401178130599269,-4.160872207283657,735,-673,1.04343
False,False,False,20240103,-2972.930000000051,-2.9729300000000514,-0.07511563778626751,-3.0213036089174037,1003,-964,0.03819047619
False,False,True,20240102,-3403.220000000001,-3.4032199999999957,-0.07357620867880842,-3.5237314894382776,553,-57,0.002074887006
False,False,True,20240101,-2050.070000000007,-2.050070000000004,-0.049369372757351454,-2.5858353914532146,788,491,0.0020780701749999997
False,False,False,20240104,-1989.859999999986,-1.9898599999999877,-0.05573167227384223,-2.0417477893780207,545,532,0.011033333329999999
False,True,False,20240101,-2065.9899999999907,-2.0659899999999953,-0.07198777993040778,-2.1795864082718395,1211,375,0.01326542373
False,False,True,20240104,-1817.0500000000466,-1.8170500000000422,-0.059269172340798405,-1.988200635981051,690,409,0.002096497175
False,False,True,20240103,-2043.030000000028,-2.0430300000000234,-0.05337161817687878,-2.1081975407378533,789,-735,0.002086201991
False,True,False,20240104,-1795.8100000000559,-1.7958100000000532,-0.0637281142597499,-1.8379349444596724,706,706,0.03161387006
False,True,False,20240103,-1671.9099999999162,-1.671909999999921,-0.07192640228328172,-1.704398680395914,940,-940,0.03819047619
False,True,False,20240102,-3297.3700000001118,-3.2973700000001105,-0.11192021477673725,-3.435647810486149,1572,-1360,1.04343
False,True,True,20240101,-1223.280000000028,-1.2232800000000266,-0.0481426885615454,-1.3969063839958902,631,471,0.0020780701749999997
False,True,True,20240102,-2627.689999999944,-2.6276899999999492,-0.07208138520877115,-2.7353264453725723,1500,-887,0.002097627119
False,True,True,20240103,-1090.8600000001024,-1.0908600000001045,-0.06023888057585622,-1.1235229431169347,1269,-1269,0.002091073446
False,True,True,20240104,-1292.6900000000605,-1.292690000000063,-0.037763104313777704,-1.3401414739866826,803,678,0.002072631579
True,False,False,20240101,-1531.7700000000186,-1.5317700000000212,-0.05210837173631908,-1.6520103624258653,675,660,0.01293333333
True,False,False,20240102,-2610.280000000028,-2.6102800000000315,-0.07570431586497683,-2.8700061954153973,628,-628,0.7804333333
True,False,False,20240103,-2164.670000000042,-2.1646700000000463,-0.07437940110056095,-2.2634848484999646,675,-446,0.0187
True,False,True,20240101,-1255.5,-1.2554999999999983,-0.03159846355090975,-1.4855392641797123,954,752,0.0020944632769999997
True,False,False,20240104,-3577.1399999998976,-3.577139999999901,-0.10226071178733318,-3.5771399999998974,1297,1165,0.02312271186
True,False,True,20240102,-662.7400000000489,-0.6627400000000505,-0.01768263229580804,-1.119648761777506,1151,-518,0.002086412429
True,False,True,20240104,-2166.9199999999837,-2.1669199999999833,-0.04347693280828716,-2.177119999999995,956,510,0.002092768362
True,False,True,20240103,-1715.679999999993,-1.7156799999999972,-0.061012578960511585,-2.0261531082283417,626,487,0.002096158192
True,True,False,20240101,-2264.3600000001024,-2.2643600000000985,-0.07914694771884938,-2.3515686240589173,1457,1378,0.01293333333
True,True,False,20240103,-3010.440000000177,-3.0104400000001807,-0.11892932265093753,-3.038078024373954,1518,-1248,0.05195014124
True,True,False,20240102,-2926.040000000008,-2.9260400000000075,-0.099712989632985,-3.070457861182735,813,-176,0.7804333333
True,True,True,20240102,-2019.1099999998696,-2.0191099999998685,-0.057456535949973096,-2.182087076434138,2648,-2648,0.002096158192
True,True,True,20240101,-2005.6699999999255,-2.005669999999926,-0.05910992542446669,-2.057937597189124,1921,669,0.002088022599
True,True,False,20240104,-3069.9000000000233,-3.0699000000000254,-0.09296489190017493,-3.1509699999999725,1207,-358,0.04284745763
True,True,True,20240104,-1851.630000000121,-1.8516300000001262,-0.06512324873453079,-1.8516300000001211,1218,1118,0.002093107345
True,True,True,20240103,-1756.8200000000652,-1.75682000000007,-0.07689050306500704,-1.7902061102293296,2548,-1942,0.002081920904
