test_id,obi,hedge,kill,n,pnl_mean,pnl_ci95,sharpe_mean,sharpe_ci95,inv_max_mean,inv_max_ci95,inv_final_mean,inv_final_ci95,max_drawdown_pct_mean
1,False,False,False,4.0,-2870.6125000000175,782.3729922734277,-0.07720414757656775,0.01955600597451767,753.25,184.74732898384937,-166.25,748.1221729771148,-3.0794754315041777
2,False,False,True,4.0,-2328.3425000000207,710.2173134477755,-0.05889659298845926,0.010385583682920104,705.0,109.23666905699142,27.0,551.1632450251619,-2.551491264402599
3,False,True,False,4.0,-2207.7700000000186,729.905225788508,-0.07989062781254416,0.021268522698319133,1107.25,364.81402216289143,-304.75,980.1258810819489,-2.289391960903394
4,False,True,True,4.0,-1558.6300000000338,703.2553933436473,-0.05455651466498762,0.01456398006773376,1050.75,394.859642362532,-251.75,951.0112332144137,-1.64897431161802
5,True,False,False,4.0,-2470.9649999999965,842.8257673196147,-0.07611320012229751,0.02010869414421057,818.75,313.21018219932336,187.75,847.784919638623,-2.590660351585281
6,True,False,True,4.0,-1450.2100000000064,630.6025309738562,-0.03844265190387913,0.0180043445671352,921.75,213.38867097388277,307.75,552.131440480133,-1.7021152835463886
7,True,True,False,4.0,-2817.6850000000777,366.10411910963694,-0.0976885379757367,0.016215695885394635,1248.75,313.7453074815091,-101.0,1069.7608657390056,-2.9027686274038946
8,True,True,True,4.0,-1908.3074999999953,123.85464729910375,-0.0646450532934944,0.008627194303284291,2083.75,647.5708575643802,-700.75,1834.8565193950906,-1.970465195963178
